# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
254790,1,1,865000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/173
254790,3,7,51900,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/173
254833,1,1,745000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/149
254833,126,6,44700,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/149
254833,317,7,44700,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/149
254879,1,1,1285000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/257
254879,33,7,77100,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/257
254905,1,1,1285000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/257
254905,39,6,77100,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/257
254906,1,6,77100,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/257
254913,1,1,1285000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/257
254914,6,1,1285000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/257
256674,1,5,1071300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/3571
257461,1,1,24005000,HLT_PFJet40_v3/5000,ONE,L1_ZeroBias/4801
257461,35,5,216900,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/723
257461,38,4,216900,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/723
257461,69,5,216900,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/723
257804,1,6,240300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/801
257804,6,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
257816,1,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
258159,1,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
258312,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258313,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258319,1,5,1759,HLT_PFJet40_v3/1,ONE,L1_ZeroBias/1759
259464,1,10,296100,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/987
259453,1,10,987,HLT_PFJet40_v3/1,ONE,L1_ZeroBias/987
259456,1,10,987,HLT_PFJet40_v3/1,ONE,L1_ZeroBias/987
259457,1,10,296100,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/987
259458,1,10,296100,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/987
260624,1,0,23015000,HLT_PFJet40_v4/5000,ONE,L1_ZeroBias/4603
260627,1,1,303640,HLT_PFJet40_v4/40,ONE,L1_ZeroBias/7591
260627,4,4,60728,HLT_PFJet40_v4/8,ONE,L1_ZeroBias/7591
260627,108,3,106274,HLT_PFJet40_v4/14,ONE,L1_ZeroBias/7591
260627,128,4,60728,HLT_PFJet40_v4/8,ONE,L1_ZeroBias/7591
260627,213,3,106274,HLT_PFJet40_v4/14,ONE,L1_ZeroBias/7591
260627,575,4,60728,HLT_PFJet40_v4/8,ONE,L1_ZeroBias/7591
253946,1,11,3900,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/13
253952,1,11,3900,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/13
254229,6,1,65000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/13
254380,8,1,395000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/79
254380,9,9,23700,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/79
254415,1,1,149,HLT_PFJet40_v2/1,ONE,L1_ZeroBias/149
254416,1,12,0,HLT_PFJet40_v2/0,ONE,L1_ZeroBias/149
254416,40,8,44700,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/149
254608,1,7,51900,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/173
254608,515,8,51900,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/173
254608,656,9,51900,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/173
257612,1,5,1477,HLT_PFJet40_v3/1,ONE,L1_ZeroBias/1477
257613,1,5,443100,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1477
260478,1,2,7591,HLT_PFJet40_v4/1,ONE,L1_ZeroBias/7591
272612,1,0,0,HLT_PFJet40_v4/1,ONE,L1_ZeroBias/0
272617,1,0,0,HLT_PFJet40_v4/1,ONE,L1_ZeroBias/0
272674,1,0,0,HLT_PFJet40_v4/5000,ONE,L1_ZeroBias/0
272674,20,11,6000,HLT_PFJet40_v4/6000,ONE,L1_ZeroBias/1
272761,1,11,6000,HLT_PFJet40_v4/6000,ONE,L1_ZeroBias/1
251161,1,10,0,HLT_PFJet40_v2/0,ONE,L1_ZeroBias/5003
251167,1,7,1003,HLT_PFJet40_v2/17,ONE,L1_ZeroBias/59
251252,1,7,1003,HLT_PFJet40_v2/17,ONE,L1_ZeroBias/59
251493,1,10,0,HLT_PFJet40_v2/0,ONE,L1_ZeroBias/139
251493,6,6,4587,HLT_PFJet40_v2/33,ONE,L1_ZeroBias/139
251499,1,6,4587,HLT_PFJet40_v2/33,ONE,L1_ZeroBias/139
251521,1,6,4587,HLT_PFJet40_v2/33,ONE,L1_ZeroBias/139
251548,1,10,0,HLT_PFJet40_v2/0,ONE,L1_ZeroBias/139
251548,28,6,4587,HLT_PFJet40_v2/33,ONE,L1_ZeroBias/139
254280,1,11,12300,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/41
254283,5,1,205000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/41
254283,9,11,12300,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/41
254284,43,11,41,HLT_PFJet40_v2/1,ONE,L1_ZeroBias/41
254437,1,1,745000,HLT_PFJet40_v2/5000,ONE,L1_ZeroBias/149
254437,4,12,0,HLT_PFJet40_v2/0,ONE,L1_ZeroBias/149
254437,54,9,44700,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/149
254437,65,8,44700,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/149
254450,1,8,44700,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/149
254458,1,8,44700,HLT_PFJet40_v2/300,ONE,L1_ZeroBias/149
256730,1,5,631,HLT_PFJet40_v3/1,ONE,L1_ZeroBias/631
257487,1,1,24005000,HLT_PFJet40_v3/5000,ONE,L1_ZeroBias/4801
257487,13,5,216900,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/723
257821,1,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
257968,1,1,26635000,HLT_PFJet40_v3/5000,ONE,L1_ZeroBias/5327
257968,7,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
257968,11,1,26635000,HLT_PFJet40_v3/5000,ONE,L1_ZeroBias/5327
257968,12,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
258129,1,1,26635000,HLT_PFJet40_v3/5000,ONE,L1_ZeroBias/5327
258129,17,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
258152,1,0,149945000,HLT_PFJet40_v3/5000,ONE,L1_ZeroBias/29989
258155,1,1,26635000,HLT_PFJet40_v3/5000,ONE,L1_ZeroBias/5327
258155,14,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
258156,1,5,1601,HLT_PFJet40_v3/1,ONE,L1_ZeroBias/1601
258157,1,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
258210,1,1,5327,HLT_PFJet40_v3/1,ONE,L1_ZeroBias/5327
258213,1,1,26635000,HLT_PFJet40_v3/5000,ONE,L1_ZeroBias/5327
258213,12,5,480300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1601
258287,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258434,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258432,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258440,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258442,1,5,1759,HLT_PFJet40_v3/1,ONE,L1_ZeroBias/1759
258443,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258444,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258446,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258448,1,5,527700,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1759
258656,1,4,1977300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/6591
258656,70,5,594300,HLT_PFJet40_v3/300,ONE,L1_ZeroBias/1981
258690,1,4,6591,HLT_PFJet40_v3/1,ONE,L1_ZeroBias/6591
259721,1,6,17580,HLT_PFJet40_v4/60,ONE,L1_ZeroBias/293
272760,1,0,0,HLT_PFJet40_v4/1,ONE,L1_ZeroBias/0
