# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
274958,1,13,8000,HLT_AK8PFJet80_v1/200,ONE,L1_SingleJet60/40
274959,1,13,8000,HLT_AK8PFJet80_v1/200,ONE,L1_SingleJet60/40
274953,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274953,11,5,8000,HLT_AK8PFJet80_v1/200,ONE,L1_SingleJet60/40
274954,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274954,31,5,8000,HLT_AK8PFJet80_v1/200,ONE,L1_SingleJet60/40
274955,1,5,8000,HLT_AK8PFJet80_v1/200,ONE,L1_SingleJet60/40
274957,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274957,4,5,8000,HLT_AK8PFJet80_v1/200,ONE,L1_SingleJet60/40
274957,11,14,0,HLT_AK8PFJet80_v1/1,ONE,L1_SingleJet60/0
274957,14,13,8000,HLT_AK8PFJet80_v1/200,ONE,L1_SingleJet60/40
275832,1,0,40000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/800
275832,202,1,35000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/700
275846,1,3,400,HLT_AK8PFJet80_v1/1,ONE,L1_SingleJet60/400
275834,1,1,35000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/700
275834,170,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
275835,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
275841,1,3,20000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/400
275837,1,3,20000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/400
275828,1,0,40000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/800
275836,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
275836,769,3,20000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/400
275829,1,0,40000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/800
275831,1,0,40000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/800
275833,1,1,35000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/700
275838,1,3,20000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/400
275847,1,3,20000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/400
275847,671,4,14000,HLT_AK8PFJet80_v1/200,ONE,L1_SingleJet60/70
274889,1,2,32400,HLT_AK8PFJet80_v1/54,ONE,L1_SingleJet60/600
274917,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274909,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274904,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274895,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274888,1,2,600,HLT_AK8PFJet80_v1/1,ONE,L1_SingleJet60/600
274913,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274905,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274894,1,2,32400,HLT_AK8PFJet80_v1/54,ONE,L1_SingleJet60/600
274999,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
274999,218,3,20000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/400
274998,1,1,35000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/700
274998,61,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
275000,1,3,20000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/400
275001,1,3,20000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/400
275001,1086,4,14000,HLT_AK8PFJet80_v1/200,ONE,L1_SingleJet60/70
275021,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
275030,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
275035,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
275034,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
275062,1,0,800,HLT_AK8PFJet80_v1/1,ONE,L1_SingleJet60/800
275059,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
275059,67,1,35000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/700
275059,89,0,40000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/800
275068,1,2,30000,HLT_AK8PFJet80_v1/50,ONE,L1_SingleJet60/600
