# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
275319,142,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275319,280,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275326,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275338,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275338,256,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275370,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275370,65,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275371,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275371,36,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275752,1,0,50,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/50
275767,1,1,42,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/42
275757,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275763,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275774,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275774,232,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275765,1,1,42,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/42
275773,1,1,42,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/42
275772,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275777,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275768,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275776,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275778,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275782,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275782,4,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275759,1,0,50,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/50
275761,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275769,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
274748,1,0,0,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/0
274799,1,0,0,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/0
274806,1,2,9450,HLT_AK8PFJet200_v1/270,ONE,L1_SingleJet120/35
274806,11,13,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274806,14,10,15,HLT_AK8PFJet200_v1/15,ONE,L1_SingleJet120/1
275310,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275310,1932,4,140,HLT_AK8PFJet200_v1/140,ONE,L1_SingleJet120/1
275308,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275309,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275309,380,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
274877,1,2,9450,HLT_AK8PFJet200_v1/270,ONE,L1_SingleJet120/35
274877,5,14,0,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/0
274877,69,11,6,HLT_AK8PFJet200_v1/6,ONE,L1_SingleJet120/1
274945,1,5,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274943,1,5,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274982,1,2,35,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/35
274985,1,2,35,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/35
274983,1,2,35,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/35
274990,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274990,4,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
274990,15,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275045,1,2,35,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/35
275046,1,2,35,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/35
275260,1,2,35,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/35
275189,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275234,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275284,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275285,None,None,1,HLT_AK8PFJet200_v1,ONE,L1_SingleJet120
275283,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275291,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275291,278,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275282,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275282,141,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275290,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275292,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275286,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275289,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275293,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275311,1,4,140,HLT_AK8PFJet200_v1/140,ONE,L1_SingleJet120/1
275375,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275375,81,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275375,250,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275375,1181,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275376,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275376,1971,4,140,HLT_AK8PFJet200_v1/140,ONE,L1_SingleJet120/1
275376,3014,5,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274968,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274968,8,1,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
274968,270,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274968,277,1,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
274968,314,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274971,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
274970,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
274966,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274966,32,5,80,HLT_AK8PFJet200_v1/80,ONE,L1_SingleJet120/1
274966,61,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274967,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274969,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
274969,115,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275451,1,2,35,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/35
275420,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275588,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275588,3,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275601,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275603,1,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275674,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275764,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275764,19,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275766,1,1,336,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/42
275781,1,0,400,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/50
275781,4,2,280,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/35
275781,15,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275783,1,3,200,HLT_AK8PFJet200_v1/8,ONE,L1_SingleJet120/25
275783,1256,4,140,HLT_AK8PFJet200_v1/140,ONE,L1_SingleJet120/1
275758,1,0,50,HLT_AK8PFJet200_v1/1,ONE,L1_SingleJet120/50
