20,30,40,50,60,70,80,100,120,160,210,260,320,400,500
30,40,50,60,70,80,100,120,160,210,260,320,400,500,670
2801432.4128669910,2844846.8427402717,1778022.8916583692,542956.7631223985,406900.7601659964,261404.4894383807,107068.4750290875,69946.7631064918,23351.5533114659,12399.7337201017,3593.3740048623,1226.3272323179,318.0664408989,97.6991971479,26.5716192173
2410366.3507869928,2537991.4972556354,1561902.9752657625,489168.9339463987,360865.5022724276,231596.3976033137,96144.8759367124,61807.7160707378,20685.0240140814,10822.1772848816,3088.7438863747,1035.6171238668,262.1983315650,78.6923117919,20.7624620843
12888.4491754216,9223.2301875048,6063.1872678793,2497.3202125848,1870.8654788640,1325.7903066039,526.9802501347,338.5495574879,107.6230384352,56.4992673713,22.7802363742,10.0153842107,2.9791008118,1.1160149500,0.2884338147
11782.8042891870,8602.8278421704,5551.1998858074,2378.0346318934,1758.0752526349,1245.6542535668,499.9587957867,318.1593936007,97.9064141141,52.6665657466,21.1604320394,9.1160646873,2.7288153060,1.0113348618,0.2650496463
1122780.8632069521,1000375.2913186117,598725.5155763453,211399.1467937122,148089.4190108526,91447.5832697951,44474.1496987269,27885.6634535145,10960.7263497525,5747.5771356199,1709.9453973123,639.5915478325,203.1795568500,65.3139873939,20.9851127202
669812.9065299130,619363.7490343705,322300.3082333508,114313.8169830634,77245.0875649849,45540.5413699389,21877.7690426504,13360.5059096288,5236.2898823170,2688.9707377517,753.1600109308,281.1542034296,87.2542235957,26.2742451325,8.1465261834
9879.3794795731,6331.9805198612,3572.0888689421,1559.2168282330,1154.3700920267,792.8608471643,345.3621492239,210.9780233628,71.0601728450,39.7085411888,15.3740156040,7.0709905149,2.4874598162,0.8773218450,0.2480261665
7484.1358786603,4967.0388114735,2583.5195850126,1134.5378566919,837.1536558091,548.9385344844,238.2836042719,145.3138596679,49.0775341485,26.3513605373,10.1352720410,4.6705028283,1.7334112715,0.5544094589,0.1836031189
322937.4896986114,372801.6029039941,264364.1044801335,101955.5951252456,81541.8177645260,55707.2624819216,29657.2699792349,20760.4331622280,9567.5372389755,5789.0748210164,1978.3574559354,820.8972882993,296.0888827159,104.1654243792,35.2800194119
100068.7316452659,110339.1679341845,48240.8609374145,19172.1671456428,11335.8147117408,7046.7122869301,3687.0556198609,2097.3208603176,1017.4175600736,586.5535058879,191.4871243887,77.7287088533,25.7848531345,10.4970472240,3.9034197632
6889.3912694976,4754.0475182473,3241.5279613467,1722.2659040201,1005.1739884136,737.5714574872,340.3010248684,221.4461019117,77.7855688381,44.7798360604,19.2197476065,9.6565827584,3.4100250152,1.4011716102,0.3427521495
3910.8239238953,2961.9259112503,1531.8407161088,1288.5634248991,376.2744981415,269.4337987206,130.9662350404,66.3839343788,25.8228838353,14.1819717178,5.8518922558,2.8998398736,0.7875969300,0.4222511189,0.1076166274
